issue_id,dropped,delivered,deferred,bounce,open,click,spamreport,unsubscribe,processed,subscribers,repost,up,down
458261,0,11,0,0,6,1,0,0,11,11,,0,0
573578,0,11,0,0,7,2,0,0,11,11,,0,0
956013,0,42,0,0,23,4,0,0,42,42,,0,0
1112000,0,45,0,0,24,7,0,0,45,45,,0,0
723743,0,13,0,0,7,3,0,0,13,13,,0,0
220456,0,1,0,0,1,0,0,0,1,1,,0,0
647153,0,12,0,0,4,2,0,0,12,12,,0,0
693383,0,12,0,0,8,4,0,0,12,12,,1,0
1045484,0,43,0,0,20,5,0,0,43,43,,0,0
286397,0,10,0,0,6,1,0,0,10,10,,0,0
872962,0,42,0,0,24,6,0,0,42,42,,0,0
1251495,0,52,0,0,8,1,0,0,52,52,,0,0
275972,0,9,0,0,9,3,0,0,9,9,,0,0
269134,0,4,0,0,1,0,0,0,4,4,,0,0
791333,0,36,0,2,17,2,0,0,38,38,,0,0
1491424,0,56,0,0,13,5,0,0,56,56,,0,0
